City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,12.56,58,92,2.28,CL,1697314988
1,ulaangom,49.9811,92.0667,7.58,65,100,1.31,MN,1697314988
2,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697314872
3,flying fish cove,-10.4217,105.6791,24.82,94,100,4.63,CX,1697314989
4,simanggang,1.2472,111.4528,23.99,100,96,1.03,MY,1697314990
5,invercargill,-46.4,168.35,7.79,89,95,7.15,NZ,1697314944
6,tazovsky,67.4667,78.7,1.79,98,100,4.74,RU,1697314991
7,lospalos,-8.5186,127.0025,21.32,92,100,2.54,TL,1697314991
8,barakani,-12.1356,44.4317,25.87,87,18,5.2,KM,1697314991
9,albany,42.6001,-73.9662,12.51,73,100,0.62,US,1697314818
10,bethel,41.3712,-73.414,10.8,87,100,1.54,US,1697314991
11,ushuaia,-54.8,-68.3,7.81,57,0,6.69,AR,1697314938
12,waitangi,-43.9535,-176.5597,14.34,86,1,4.92,NZ,1697314992
13,papatowai,-46.5619,169.4708,7.82,72,100,4.09,NZ,1697314992
14,burleson,32.5421,-97.3208,22.62,37,0,7.2,US,1697314844
15,adamstown,-25.066,-130.1015,21.11,69,94,0.76,PN,1697314992
16,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,9.77,CA,1697314992
17,karachi,24.9056,67.0822,27.9,74,75,3.6,PK,1697314747
18,wailua homesteads,22.0669,-159.378,27.24,79,100,3.6,US,1697314992
19,stanley,54.868,-1.6985,4.33,78,0,4.63,GB,1697314901
20,gignac,43.652,3.5509,21.53,62,42,4.33,FR,1697314992
21,constantia,44.1833,28.65,14.38,82,0,5.16,RO,1697314819
22,port mathurin,-19.6833,63.4167,22.87,65,0,5.46,MU,1697314992
23,monts,47.2772,0.6247,13.35,76,0,1.54,FR,1697314992
24,aasiaat,68.7098,-52.8699,-3.67,65,100,5.48,GL,1697314993
25,skuodas,56.2667,21.5333,12.92,73,8,9.14,LT,1697314993
26,whitehorse,60.7161,-135.0538,10.01,67,75,8.23,CA,1697314960
27,usogorsk,63.4106,48.6872,2.59,96,80,4.31,RU,1697314993
28,grytviken,-54.2811,-36.5092,-2.62,83,43,3.56,GS,1697314739
29,bridlington,54.0831,-0.1919,7.23,78,3,2.24,GB,1697314993
30,bechar,31.6167,-2.2167,23.18,21,20,3.6,DZ,1697314993
31,karratha,-20.7377,116.8463,27.43,43,3,1.39,AU,1697314994
32,queenstown,-31.8976,26.8753,8.66,84,23,2.61,ZA,1697314994
33,wattegama,6.7989,81.4808,23.65,93,98,0.6,LK,1697314994
34,minas de marcona,-15.2119,-75.1103,19.05,59,63,6.32,PE,1697314994
35,nuuk,64.1835,-51.7216,3.34,100,75,10.8,GL,1697314994
36,farasan,16.7022,42.1183,30.61,75,7,1.99,SA,1697314994
37,mukalla,14.5425,49.1242,27.34,68,5,1.23,YE,1697314994
38,broken hill,-31.95,141.4333,12.13,66,0,3.79,AU,1697314994
39,georgetown,5.4112,100.3354,25.96,92,40,2.68,MY,1697314989
40,nizhneudinsk,54.9076,99.0276,5.01,67,72,1.79,RU,1697314995
41,shahr-e kord,32.3256,50.8644,10.87,37,0,1.03,IR,1697314996
